customer_id,location_id
1,21788
2,21308
3,21598
4,21500
5,21599
6,21733
7,21510
8,21259
9,21350
10,21578
11,21311
12,21748
13,21516
14,21584
15,21652
16,21315
17,21718
18,21345
19,21656
20,21360
21,21776
22,21310
23,21771
24,21586
25,21590
26,21243
27,21558
28,21516
29,21332
30,21389
31,21364
32,21341
33,21552
34,21359
35,21670
36,21486
37,21791
38,21314
39,21264
40,21396
41,21349
42,21221
43,21295
44,21608
45,21409
46,21310
47,21374
48,21646
49,21236
50,21569
51,21326
52,21469
53,21359
54,21386
55,21483
56,21293
57,21571
58,21439
59,21590
60,21399
61,21633
62,21746
63,21759
64,21294
65,21282
66,21557
67,21505
68,21446
69,21373
70,21637
71,21633
72,21393
73,21335
74,21771
75,21557
76,21617
77,21662
78,21556
79,21618
80,21455
81,21785
82,21416
83,21682
84,21355
85,21348
86,21690
87,21473
88,21447
89,21330
90,21448
91,21781
92,21781
93,21593
94,21468
95,21261
96,21745
97,21678
98,21573
99,21466
100,21626
101,21406
102,21431
103,21786
104,21709
105,21589
106,21340
107,21644
108,21321
109,21463
110,21311
111,21330
112,21526
113,21741
114,21680
115,21415
116,21426
117,21766
118,21615
119,21505
120,21566
121,21508
122,21288
123,21493
124,21637
125,21372
126,21427
127,21555
128,21541
129,21696
130,21388
131,21327
132,21616
133,21567
134,21393
135,21669
136,21306
137,21478
138,21550
139,21459
140,21489
141,21746
142,21356
143,21315
144,21659
145,21346
146,21509
147,21724
148,21350
149,21299
150,21290
151,21762
152,21497
153,21228
154,21445
155,21627
156,21674
157,21584
158,21508
159,21529
160,21403
161,21397
162,21266
163,21327
164,21534
165,21734
166,21467
167,21737
168,21614
169,21649
170,21375
171,21576
172,21491
173,21337
174,21427
175,21331
176,21543
177,21622
178,21502
179,21374
180,21656
181,21312
182,21361
183,21496
184,21639
185,21549
186,21658
187,21345
188,21489
189,21357
190,21477
191,21750
192,21342
193,21475
194,21353
195,21484
196,21406
197,21569
198,21597
199,21225
200,21277
201,21570
202,21498
203,21447
204,21347
205,21275
206,21410
207,21614
208,21486
209,21603
210,21357
211,21721
212,21670
213,21341
214,21474
215,21237
216,21407
217,21489
218,21593
219,21587
220,21376
221,21703
222,21254
223,21532
224,21617
225,21314
226,21550
227,21584
228,21300
229,21576
230,21514
231,21469
232,21584
233,21268
234,21754
235,21752
236,21652
237,21750
238,21628
239,21288
240,22370
241,21238
242,21605
243,21465
244,22370
245,21505
246,21388
247,21413
248,21340
249,21449
250,21228
251,21421
252,21456
253,21558
254,21510
255,21402
256,21458
257,21542
258,21400
259,21594
260,22371
261,21289
262,21534
263,21716
264,21275
265,21299
266,21710
267,21484
268,21486
269,21626
270,21300
271,21411
272,21346
273,21728
274,21354
275,21268
276,21529
277,21757
278,21733
279,21406
280,21387
281,21252
282,21412
283,21618
284,21600
285,21632
286,21782
287,21658
288,21478
289,21231
290,21365
291,21397
292,21647
293,21237
294,21345
295,21268
296,21479
297,21416
298,21477
299,21460
300,21449
301,21658
302,21472
303,21291
304,21385
305,21380
306,21760
307,21348
308,21542
309,21765
310,21679
311,21325
312,21754
313,21446
314,21507
315,21592
316,21431
317,21285
318,21499
319,21384
320,21284
321,21775
322,21260
323,21662
324,21565
325,21222
326,21788
327,21792
328,21327
329,21413
330,21789
331,21656
332,21752
333,21372
334,21271
335,21363
336,21509
337,21679
338,21347
339,21503
340,21503
341,21612
342,21431
343,21325
344,21567
345,21222
346,21384
347,21744
348,21376
349,21578
350,21541
351,21371
352,21583
353,21277
354,21553
355,21316
356,21258
357,21472
358,21446
359,21622
360,21515
361,21759
362,21654
363,21628
364,21689
365,21241
366,21359
367,21785
368,21537
369,21550
370,21388
371,21703
372,21590
373,21266
374,21542
375,21716
376,21645
377,21658
378,21278
379,21382
380,21308
381,21227
382,21777
383,21783
384,21607
385,21751
386,21562
387,21530
388,21273
389,21561
390,21397
391,21319
392,21373
393,21245
394,21714
395,21521
396,21272
397,21456
398,21427
399,21420
400,21422
401,21539
402,21781
403,21493
404,21505
405,21643
406,21679
407,21746
408,21257
409,21429
410,21644
411,21630
412,21513
413,21388
414,21344
415,21723
416,21747
417,21236
418,21268
419,21448
420,21518
421,21587
422,21348
423,21248
424,21605
425,21683
426,21739
427,21446
428,21762
429,21233
430,21373
431,21464
432,21739
433,21549
434,21544
435,21483
436,21759
437,21710
438,21577
439,21292
440,21516
441,21452
442,21275
443,21571
444,21660
445,21668
446,21396
447,21703
448,21555
449,21590
450,21788
451,21583
452,21440
453,21792
454,21453
455,21681
456,21718
457,21687
458,21508
459,21435
460,21337
461,21721
462,21436
463,21536
464,21663
465,21446
466,21403
467,21478
468,21334
469,21627
470,21273
471,21283
472,21331
473,21254
474,21600
475,21338
476,21762
477,21309
478,21236
479,21595
480,21734
481,21660
482,21635
483,21779
484,21386
485,21500
486,21441
487,21732
488,21528
489,21723
490,21765
491,21767
492,21305
493,21477
494,21548
495,21376
496,21377
497,21778
498,21341
499,21704
500,21496
501,21249
502,21271
503,21585
504,21428
505,21671
506,21223
507,21506
508,21378
509,21669
510,21677
511,21583
512,21523
513,21578
514,21332
515,21613
516,21704
517,21628
518,21733
519,21600
520,21407
521,21426
522,21313
523,21541
524,21575
525,21305
526,21325
527,21361
528,21678
529,21590
530,21785
531,21316
532,21287
533,21707
534,21616
535,21729
536,21334
537,21544
538,21409
539,21727
540,21606
541,21523
542,21649
543,21723
544,21566
545,21258
546,21513
547,21697
548,21426
549,21616
550,21630
551,21277
552,21710
553,21645
554,21654
555,21725
556,21353
557,21498
558,21368
559,21401
560,21458
561,21689
562,21376
563,21408
564,21587
565,21685
566,21416
567,21286
568,21572
569,21743
570,21684
571,21453
572,21272
573,21341
574,21615
575,21316
576,21243
577,21492
578,21566
579,21255
580,21656
581,21589
582,21301
583,21683
584,21642
585,21699
586,21444
587,21760
588,21739
589,21486
590,21255
591,21410
592,21598
593,21461
594,21628
595,21322
596,21220
597,21241
598,21563
599,21779
600,21731
601,21339
602,21698
603,21292
604,21490
605,21548
606,21777
607,21300
608,21616
609,21494
610,21781
611,21446
612,21448
613,21787
614,21634
615,21663
616,21787
617,21620
618,21516
619,21402
620,21487
621,21754
622,21427
623,21330
624,21461
625,21636
626,21478
627,21792
628,21321
629,21585
630,21579
631,21662
632,21663
633,21425
634,21313
635,21441
636,21744
637,21600
638,21631
639,21478
640,21489
641,21667
642,21731
643,21663
644,21765
645,21682
646,21639
647,21656
648,21790
649,21759
650,21320
651,21655
652,21729
653,21467
654,21484
655,21304
656,21526
657,21360
658,21243
659,22371
660,21697
661,21534
662,21497
663,21467
664,21681
665,21657
666,21613
667,21721
668,21587
669,21484
670,21688
671,21344
672,21442
673,21716
674,21357
675,21286
676,21735
677,21298
678,21359
679,21499
680,21768
681,21641
682,21256
683,21542
684,21333
685,21775
686,21634
687,21358
688,21358
689,21224
690,21741
691,21611
692,21598
693,21739
694,21576
695,21623
696,21240
697,21313
698,21403
699,21594
700,21338
701,21486
702,21689
703,21361
704,21479
705,21275
706,21769
707,21670
708,21529
709,21532
710,21223
711,21713
712,21307
713,21740
714,21701
715,21790
716,21654
717,21731
718,21654
719,21588
720,21549
721,21358
722,21518
723,21259
724,21355
725,21572
726,21631
727,21538
728,21564
729,21348
730,21661
731,21403
732,21277
733,21363
734,21741
735,21779
736,21732
737,21348
738,21362
739,21639
740,21476
741,21545
742,21483
743,21532
744,21243
745,21696
746,21429
747,21510
748,21288
749,21320
750,21646
751,21586
752,21271
753,21503
754,21449
755,21376
756,21339
757,21403
758,21467
759,21454
760,21582
761,21496
762,21223
763,21282
764,21235
765,21580
766,21731
767,21775
768,21456
769,21308
770,21313
771,21529
772,21352
773,21329
774,21556
775,21333
776,21257
777,21271
778,21553
779,21285
780,21739
781,21347
782,21457
783,21510
784,21764
785,21352
786,21591
787,21737
788,21716
789,21334
